listing_id,agent_id,property_type,address,city,province,asking_price_idr,size_sqm,bedrooms,bathrooms,land_area_sqm,listed_date,status,days_on_market
LST00052,AGT057,Apartemen,Jl. Kenanga No. 218,Tangerang,Banten,2420000000,71,1,1,,2025-01-29,active,237
LST00053,AGT141,Rumah,Perumahan Pondok Indah Blok D11 No. 46,Jakarta Selatan,DKI Jakarta,1698000000,208,2,2,233,2022-09-20,off_market,150
LST00054,AGT026,Ruko,Jl. Pahlawan No. 85,Bekasi,Jawa Barat,5471000000,397,0,1,421,2023-09-19,sold,178
LST00055,AGT150,Rumah,Jl. Mahoni No. 2,Surabaya,Jawa Timur,2996000000,349,6,3,429,2023-10-04,active,127
LST00056,AGT057,Apartemen,Jl. Senopati No. 225,Yogyakarta,DI Yogyakarta,3922000000,92,3,1,,2024-09-09,sold,119
LST00057,AGT115,Apartemen,Jl. Dahlia No. 216,Bekasi,Jawa Barat,3288000000,100,4,3,,2023-07-29,sold,36
LST00058,AGT138,Apartemen,Jl. Solo No. 162,Jakarta Utara,DKI Jakarta,1959000000,89,1,1,,2022-03-05,active,298
LST00059,AGT149,Rumah,Jl. Basuki Rahmat No. 168,Tangerang,Banten,7137000000,453,6,2,462,2022-11-01,active,188
LST00060,AGT101,Vila,Jl. Dahlia No. 102,Jakarta Timur,DKI Jakarta,8317000000,451,5,4,738,2024-01-16,sold,129
LST00061,AGT003,Rumah,Jl. Sakura No. 115,Jakarta Pusat,DKI Jakarta,11357000000,182,6,6,224,2022-11-23,sold,46
LST00062,AGT145,Rumah,Jl. Wolter Monginsidi No. 11,Yogyakarta,DI Yogyakarta,9770000000,397,3,3,584,2023-03-25,sold,125
LST00063,AGT060,Vila,Jl. Kaliurang No. 233,Bali,Bali,3059000000,285,5,4,356,2024-01-10,sold,100
LST00064,AGT121,Rumah,Jl. Kaliurang No. 163,Tangerang,Banten,7948000000,83,2,2,109,2023-07-15,active,380
LST00065,AGT068,Apartemen,Jl. Asia Afrika No. 151,Tangerang,Banten,4809000000,167,2,2,,2022-06-09,active,265
LST00066,AGT065,Ruko,Jl. Wolter Monginsidi No. 125,Surabaya,Jawa Timur,6965000000,194,0,3,245,2024-09-14,sold,155
LST00067,AGT002,Apartemen,Jl. Solo No. 165,Bekasi,Jawa Barat,4461000000,57,4,1,,2023-07-30,active,109
LST00068,AGT039,Apartemen,Jl. Tulip No. 170,Bandung,Jawa Barat,1881000000,62,3,3,,2023-04-17,active,213
LST00069,AGT085,Kavling,Jl. Basuki Rahmat No. 54,Bekasi,Jawa Barat,664000000,326,0,0,326,2022-11-27,sold,166
LST00070,AGT106,Rumah,Jl. Sakura No. 162,Surabaya,Jawa Timur,867000000,184,2,1,330,2024-11-15,sold,11
LST00071,AGT147,Apartemen,Jl. Kaliurang No. 246,Yogyakarta,DI Yogyakarta,1553000000,36,2,2,,2024-04-10,sold,154
LST00072,AGT145,Rumah,Jl. Basuki Rahmat No. 223,Jakarta Selatan,DKI Jakarta,10946000000,69,4,1,124,2024-09-13,sold,44
LST00073,AGT057,Rumah,Jl. Jati No. 160,Surabaya,Jawa Timur,14104000000,270,6,2,419,2024-11-12,sold,68
LST00074,AGT043,Rumah,Jl. Pisang No. 97,Surabaya,Jawa Timur,12365000000,411,4,4,563,2024-02-29,off_market,97
LST00075,AGT028,Kavling,Jl. Solo No. 176,Jakarta Timur,DKI Jakarta,267000000,183,0,0,183,2024-05-09,active,77
LST00076,AGT025,Rumah,Jl. Solo No. 193,Jakarta Selatan,DKI Jakarta,3406000000,303,6,5,312,2022-08-29,sold,24
LST00077,AGT124,Rumah,Jl. Pemuda No. 134,Bandung,Jawa Barat,11303000000,126,6,5,126,2024-05-11,active,190
LST00078,AGT012,Apartemen,Jl. Braga No. 90,Bekasi,Jawa Barat,4690000000,131,2,2,,2022-07-20,active,218
LST00079,AGT035,Apartemen,Jl. Dago No. 66,Jakarta Selatan,DKI Jakarta,2435000000,144,2,1,,2023-01-23,active,3
LST00080,AGT002,Ruko,Jl. Kelapa No. 177,Yogyakarta,DI Yogyakarta,9361000000,140,0,3,140,2023-10-09,sold,105
LST00081,AGT093,Rumah,Perumahan Citra Garden Blok D19 No. 47,Bandung,Jawa Barat,2246000000,139,5,5,203,2023-07-19,off_market,233
LST00082,AGT053,Kavling,Jl. Basuki Rahmat No. 46,Yogyakarta,DI Yogyakarta,1892000000,362,0,0,362,2024-01-29,sold,144
LST00083,AGT143,Rumah,Jl. Sakura No. 219,Jakarta Selatan,DKI Jakarta,8425000000,189,4,3,387,2022-09-01,sold,59
LST00084,AGT115,Rumah,Jl. Senopati No. 206,Jakarta Timur,DKI Jakarta,13330000000,418,3,1,472,2022-04-17,active,83
LST00085,AGT100,Ruko,Jl. Pemuda No. 23,Jakarta Selatan,DKI Jakarta,886000000,126,0,1,186,2022-05-12,sold,68
LST00086,AGT057,Ruko,Jl. Riau No. 158,Jakarta Timur,DKI Jakarta,6875000000,120,0,3,124,2024-12-03,active,147
LST00087,AGT015,Rumah,Jl. Pinang No. 218,Jakarta Selatan,DKI Jakarta,13174000000,479,3,3,605,2024-11-27,sold,74
LST00088,AGT050,Ruko,Jl. Mahoni No. 173,Jakarta Barat,DKI Jakarta,1350000000,386,0,3,452,2022-03-15,sold,93
LST00089,AGT062,Apartemen,Jl. Wolter Monginsidi No. 172,Jakarta Selatan,DKI Jakarta,352000000,62,1,2,,2024-03-20,sold,104
LST00090,AGT052,Ruko,Jl. Dahlia No. 141,Yogyakarta,DI Yogyakarta,9282000000,87,0,3,177,2023-08-06,active,372
LST00091,AGT144,Rumah,Jl. Pinang No. 117,Jakarta Selatan,DKI Jakarta,10050000000,238,4,3,295,2024-04-07,active,295
LST00092,AGT002,Apartemen,Jl. Cempaka No. 129,Bali,Bali,2488000000,66,4,3,,2023-08-26,sold,88
LST00093,AGT030,Rumah,Jl. Braga No. 145,Jakarta Selatan,DKI Jakarta,13655000000,322,4,3,499,2024-09-17,active,395
LST00094,AGT063,Apartemen,Jl. Basuki Rahmat No. 30,Bandung,Jawa Barat,3132000000,139,4,3,,2023-06-13,active,35
LST00095,AGT098,Rumah,Perumahan Cibubur Country Blok D12 No. 67,Bandung,Jawa Barat,10881000000,463,3,3,642,2025-01-02,active,5
LST00096,AGT068,Rumah,Jl. Senopati No. 20,Jakarta Selatan,DKI Jakarta,4567000000,207,2,2,379,2023-01-01,sold,122
LST00097,AGT081,Rumah,Jl. Pinang No. 128,Jakarta Timur,DKI Jakarta,6292000000,171,6,3,217,2023-02-13,sold,61
LST00098,AGT062,Rumah,Jl. Wolter Monginsidi No. 40,Bandung,Jawa Barat,14799000000,195,3,1,246,2022-08-07,sold,31
LST00099,AGT021,Rumah,Jl. Anggrek No. 218,Jakarta Selatan,DKI Jakarta,11572000000,399,5,5,400,2024-09-14,active,191
LST00100,AGT081,Apartemen,Jl. Solo No. 72,Bandung,Jawa Barat,4383000000,169,3,2,,2024-03-25,sold,57
LST00101,AGT148,Vila,Jl. Anggrek No. 129,Malang,Jawa Timur,5202000000,177,7,7,471,2023-12-13,active,202
LST00102,AGT045,Rumah,Jl. Mawar No. 173,Jakarta Barat,DKI Jakarta,7990000000,121,6,4,201,2023-03-08,sold,98
LST00103,AGT149,Ruko,Jl. Jati No. 141,Malang,Jawa Timur,2450000000,246,0,2,324,2023-06-23,sold,61
LST00104,AGT069,Vila,Jl. Kelapa No. 108,Medan,Sumatera Utara,16445000000,463,5,5,607,2024-02-02,sold,94
LST00105,AGT103,Rumah,Jl. Pisang No. 209,Jakarta Barat,DKI Jakarta,5081000000,290,3,3,323,2022-07-24,sold,70
LST00106,AGT061,Rumah,Jl. Cendana No. 122,Surabaya,Jawa Timur,9598000000,281,5,2,318,2022-01-20,sold,46
LST00107,AGT108,Rumah,Cluster Anggrek Blok C9 No. 72,Jakarta Timur,DKI Jakarta,8685000000,128,6,5,312,2022-04-08,sold,102
LST00108,AGT026,Rumah,Jl. Flamboyan No. 116,Depok,Jawa Barat,11813000000,143,2,1,208,2023-11-17,active,134
LST00109,AGT093,Apartemen,Jl. Tulip No. 90,Bali,Bali,3301000000,165,3,2,,2023-02-12,active,296
LST00110,AGT148,Rumah,Perumahan Cibubur Country Blok F17 No. 63,Tangerang,Banten,11147000000,392,6,2,591,2024-07-04,active,41
LST00111,AGT098,Rumah,Jl. Senopati No. 108,Bandung,Jawa Barat,10554000000,206,5,2,248,2024-04-08,sold,19
LST00112,AGT021,Rumah,Jl. Gatot Subroto No. 155,Surabaya,Jawa Timur,3154000000,235,3,2,316,2024-03-20,sold,70
LST00113,AGT114,Vila,Perumahan Griya Asri Blok B24 No. 31,Bandung,Jawa Barat,12900000000,450,7,7,711,2023-05-31,active,381
LST00114,AGT021,Rumah,Cluster Anggrek Blok E2 No. 4,Bali,Bali,3950000000,145,5,1,169,2024-03-24,active,269
LST00115,AGT022,Rumah,Jl. Braga No. 80,Jakarta Barat,DKI Jakarta,2202000000,194,6,2,215,2023-04-15,sold,64
LST00116,AGT073,Rumah,Jl. Melati No. 9,Jakarta Selatan,DKI Jakarta,7760000000,380,3,1,514,2024-01-01,sold,84
LST00117,AGT122,Apartemen,Jl. Jati No. 152,Bali,Bali,4177000000,160,3,3,,2024-07-24,sold,162
LST00118,AGT145,Vila,Jl. Pisang No. 207,Tangerang,Banten,15253000000,418,7,7,645,2022-07-03,sold,114
LST00119,AGT079,Ruko,Jl. Mawar No. 134,Jakarta Selatan,DKI Jakarta,6792000000,291,0,2,310,2022-10-07,active,177
LST00120,AGT074,Vila,Jl. Basuki Rahmat No. 77,Jakarta Selatan,DKI Jakarta,16374000000,423,3,4,724,2022-01-19,sold,111
LST00121,AGT075,Rumah,Jl. Pemuda No. 102,Jakarta Barat,DKI Jakarta,10281000000,178,2,2,226,2023-05-27,active,84
LST00122,AGT100,Rumah,Jl. Sudirman No. 133,Bandung,Jawa Barat,14072000000,253,3,2,273,2023-07-11,sold,73
LST00123,AGT137,Ruko,Jl. Diponegoro No. 29,Bali,Bali,5204000000,291,0,1,299,2024-07-21,active,317
LST00124,AGT116,Vila,Perumahan Griya Asri Blok E1 No. 24,Jakarta Barat,DKI Jakarta,9917000000,468,6,5,682,2022-07-29,sold,73
LST00125,AGT069,Apartemen,Jl. Mawar No. 127,Jakarta Barat,DKI Jakarta,1374000000,134,1,1,,2023-03-21,off_market,205
LST00126,AGT108,Rumah,Jl. Anggrek No. 85,Yogyakarta,DI Yogyakarta,5604000000,462,5,3,580,2022-06-14,active,385
LST00127,AGT038,Vila,Jl. Pinang No. 230,Surabaya,Jawa Timur,2836000000,286,6,5,614,2023-05-28,active,196
LST00128,AGT004,Apartemen,Jl. Anggrek No. 51,Jakarta Timur,DKI Jakarta,1349000000,85,4,2,,2024-08-01,sold,25
LST00129,AGT134,Ruko,Jl. Kemang Raya No. 41,Malang,Jawa Timur,4215000000,322,0,2,409,2022-03-28,off_market,296
LST00130,AGT032,Apartemen,Jl. Kenanga No. 222,Jakarta Barat,DKI Jakarta,2425000000,145,3,1,,2023-03-23,active,58
LST00131,AGT061,Rumah,Jl. Tulip No. 102,Bali,Bali,10869000000,282,4,1,324,2023-05-13,sold,3
LST00132,AGT011,Kavling,Jl. Cendana No. 96,Yogyakarta,DI Yogyakarta,2580000000,481,0,0,481,2022-07-03,sold,64
LST00133,AGT041,Ruko,Jl. Kenanga No. 16,Bali,Bali,8990000000,126,0,3,205,2023-12-30,active,331
LST00134,AGT040,Ruko,Jl. Wolter Monginsidi No. 207,Jakarta Selatan,DKI Jakarta,9587000000,134,0,1,196,2024-06-17,sold,50
LST00135,AGT006,Rumah,Jl. Malioboro No. 181,Bekasi,Jawa Barat,11792000000,253,4,2,317,2024-06-15,sold,144
LST00136,AGT076,Apartemen,Jl. Wolter Monginsidi No. 83,Surabaya,Jawa Timur,4796000000,200,4,1,,2024-08-17,sold,71
LST00137,AGT142,Rumah,Perumahan Kelapa Gading Blok E12 No. 59,Jakarta Selatan,DKI Jakarta,3127000000,95,6,2,210,2022-01-02,active,398
LST00138,AGT130,Ruko,Jl. Sudirman No. 83,Surabaya,Jawa Timur,7010000000,174,0,1,253,2022-05-10,active,338
LST00139,AGT138,Apartemen,Jl. Diponegoro No. 83,Bekasi,Jawa Barat,3524000000,70,4,3,,2024-04-19,active,329
LST00140,AGT083,Vila,Perumahan Bintaro Sektor Blok B28 No. 5,Bali,Bali,4619000000,199,7,8,283,2023-02-18,sold,28
LST00141,AGT125,Ruko,Jl. Braga No. 169,Surabaya,Jawa Timur,3939000000,130,0,1,203,2024-09-30,active,270
LST00142,AGT066,Ruko,Jl. Mawar No. 239,Jakarta Pusat,DKI Jakarta,1604000000,267,0,1,344,2023-03-04,active,336
LST00143,AGT126,Ruko,Jl. Dago No. 211,Jakarta Utara,DKI Jakarta,2110000000,319,0,3,326,2024-01-26,sold,15
LST00144,AGT069,Apartemen,Jl. Kelapa No. 246,Malang,Jawa Timur,4683000000,32,1,2,,2024-11-29,active,50
LST00145,AGT026,Apartemen,Jl. Sudirman No. 146,Bandung,Jawa Barat,2242000000,158,4,1,,2023-01-02,sold,143
LST00146,AGT143,Rumah,Jl. Pemuda No. 227,Jakarta Selatan,DKI Jakarta,7302000000,442,2,2,614,2022-08-02,sold,43
LST00147,AGT047,Apartemen,Jl. Pahlawan No. 239,Yogyakarta,DI Yogyakarta,4855000000,124,3,3,,2023-12-23,sold,81
LST00148,AGT141,Ruko,Jl. Kemang Raya No. 156,Bandung,Jawa Barat,6119000000,270,0,2,367,2023-05-08,active,289
LST00149,AGT140,Rumah,Cluster Anggrek Blok D13 No. 1,Bali,Bali,4004000000,252,6,6,317,2022-03-12,sold,73
LST00150,AGT005,Rumah,Jl. Kelapa No. 220,Bandung,Jawa Barat,8980000000,129,4,1,205,2023-10-07,sold,6
LST00151,AGT071,Apartemen,Jl. Wolter Monginsidi No. 40,Tangerang,Banten,4885000000,152,2,1,,2022-10-11,active,136
LST00152,AGT094,Kavling,Perumahan Kelapa Gading Blok A19 No. 52,Bogor,Jawa Barat,2584000000,207,0,0,207,2023-03-22,active,376
LST00153,AGT020,Kavling,Jl. Malioboro No. 212,Tangerang,Banten,1529000000,485,0,0,485,2022-07-15,active,305
LST00154,AGT077,Apartemen,Jl. Senopati No. 90,Surabaya,Jawa Timur,656000000,169,4,1,,2024-06-08,sold,107
LST00155,AGT031,Vila,Jl. Braga No. 14,Jakarta Selatan,DKI Jakarta,8429000000,484,7,6,858,2023-09-17,active,269
LST00156,AGT011,Apartemen,Jl. Pisang No. 40,Medan,Sumatera Utara,2965000000,160,2,2,,2022-04-14,active,345
LST00157,AGT101,Rumah,Cluster Mawar Blok C26 No. 51,Surabaya,Jawa Timur,7800000000,445,6,5,574,2022-10-31,sold,34
LST00158,AGT087,Apartemen,Jl. Riau No. 129,Surabaya,Jawa Timur,1026000000,143,1,2,,2024-06-08,off_market,96
LST00159,AGT035,Rumah,Jl. Pinang No. 144,Bandung,Jawa Barat,8379000000,346,3,2,447,2024-12-09,sold,64
LST00160,AGT063,Apartemen,Jl. Dahlia No. 29,Tangerang,Banten,936000000,90,4,2,,2024-04-27,sold,109
LST00161,AGT094,Rumah,Jl. Cikini No. 44,Semarang,Jawa Tengah,6206000000,157,4,3,309,2023-12-18,active,316
LST00162,AGT114,Rumah,Perumahan Cibubur Country Blok B25 No. 94,Malang,Jawa Timur,10710000000,134,5,1,193,2022-06-25,off_market,87
LST00163,AGT014,Rumah,Perumahan Taman Mas Blok C15 No. 61,Jakarta Selatan,DKI Jakarta,4482000000,377,3,2,380,2022-02-16,sold,85
LST00164,AGT054,Rumah,Jl. Thamrin No. 141,Bekasi,Jawa Barat,12624000000,335,3,1,474,2024-09-16,sold,160
LST00165,AGT037,Rumah,Jl. Kaliurang No. 12,Jakarta Barat,DKI Jakarta,11888000000,417,2,2,566,2023-06-08,off_market,117
LST00166,AGT016,Rumah,Jl. Mawar No. 18,Tangerang,Banten,5153000000,162,6,3,175,2024-03-06,active,339
LST00167,AGT070,Apartemen,Jl. Braga No. 60,Bandung,Jawa Barat,3300000000,49,1,2,,2024-02-19,off_market,290
LST00168,AGT026,Rumah,Perumahan Citra Garden Blok D18 No. 92,Jakarta Utara,DKI Jakarta,5668000000,308,6,5,330,2022-02-14,active,21
LST00169,AGT064,Kavling,Cluster Mawar Blok F6 No. 3,Jakarta Barat,DKI Jakarta,2368000000,236,0,0,236,2023-12-12,active,351
LST00170,AGT091,Kavling,Perumahan Citra Garden Blok C26 No. 8,Jakarta Selatan,DKI Jakarta,1655000000,400,0,0,400,2023-06-12,active,199
LST00171,AGT008,Apartemen,Jl. Riau No. 169,Bandung,Jawa Barat,4896000000,93,2,1,,2022-10-09,sold,23
LST00172,AGT098,Apartemen,Jl. Cendana No. 110,Jakarta Barat,DKI Jakarta,4615000000,195,2,2,,2023-10-02,active,310
LST00173,AGT085,Rumah,Perumahan Citra Garden Blok F26 No. 26,Bali,Bali,7859000000,337,3,1,504,2022-10-10,sold,80
LST00174,AGT135,Rumah,Jl. Kemang Raya No. 18,Bekasi,Jawa Barat,2715000000,280,3,3,424,2024-12-27,active,369
LST00175,AGT031,Apartemen,Jl. Kemang Raya No. 226,Bandung,Jawa Barat,1858000000,103,2,3,,2024-04-27,active,211
LST00176,AGT078,Rumah,Perumahan Bintaro Sektor Blok B1 No. 98,Tangerang,Banten,7758000000,441,4,2,640,2023-07-01,active,311
LST00177,AGT146,Ruko,Jl. Wolter Monginsidi No. 21,Jakarta Selatan,DKI Jakarta,4583000000,385,0,1,414,2024-09-03,active,69
LST00178,AGT129,Rumah,Jl. Malioboro No. 122,Jakarta Barat,DKI Jakarta,14363000000,369,5,3,416,2022-10-09,active,84
LST00179,AGT050,Apartemen,Jl. Dago No. 57,Yogyakarta,DI Yogyakarta,2203000000,30,4,1,,2023-02-20,active,388
LST00180,AGT053,Apartemen,Jl. Kemang Raya No. 222,Bekasi,Jawa Barat,891000000,67,4,3,,2024-07-26,sold,64
LST00181,AGT110,Vila,Perumahan Cibubur Country Blok D20 No. 96,Surabaya,Jawa Timur,14266000000,171,7,8,643,2025-01-03,active,269
LST00182,AGT010,Rumah,Jl. Sudirman No. 133,Bekasi,Jawa Barat,9030000000,115,5,4,125,2025-01-06,off_market,232
LST00183,AGT011,Apartemen,Jl. Riau No. 227,Bandung,Jawa Barat,4918000000,121,1,1,,2023-09-16,sold,74
LST00184,AGT119,Ruko,Jl. Kaliurang No. 232,Bogor,Jawa Barat,3527000000,296,0,2,374,2022-10-19,sold,119
LST00185,AGT116,Apartemen,Jl. Sakura No. 101,Bekasi,Jawa Barat,1090000000,150,1,1,,2024-04-26,sold,83
LST00186,AGT116,Apartemen,Jl. Pinang No. 226,Jakarta Selatan,DKI Jakarta,554000000,67,4,3,,2024-07-20,active,47
LST00187,AGT065,Rumah,Perumahan Taman Mas Blok F15 No. 82,Depok,Jawa Barat,5809000000,414,3,3,601,2024-01-14,active,44
LST00188,AGT135,Rumah,Cluster Mawar Blok A25 No. 22,Jakarta Timur,DKI Jakarta,12088000000,256,6,5,296,2023-11-18,active,290
LST00189,AGT039,Ruko,Jl. Dago No. 79,Tangerang,Banten,3456000000,154,0,1,252,2023-09-26,sold,115
LST00190,AGT074,Kavling,Perumahan Bintaro Sektor Blok B1 No. 80,Depok,Jawa Barat,2765000000,172,0,0,172,2023-06-03,active,7
LST00191,AGT118,Apartemen,Jl. Basuki Rahmat No. 117,Jakarta Pusat,DKI Jakarta,4426000000,149,1,2,,2024-04-19,sold,114
LST00192,AGT021,Ruko,Jl. Kelapa No. 13,Jakarta Selatan,DKI Jakarta,907000000,205,0,3,240,2023-01-14,active,76
LST00193,AGT015,Apartemen,Jl. Cikini No. 85,Depok,Jawa Barat,3209000000,31,2,1,,2022-06-29,off_market,55
LST00194,AGT028,Apartemen,Jl. Jati No. 248,Bekasi,Jawa Barat,3765000000,67,2,3,,2024-07-21,sold,149
LST00195,AGT093,Rumah,Jl. Cempaka No. 195,Bandung,Jawa Barat,1087000000,107,4,3,201,2024-05-25,off_market,63
LST00196,AGT075,Rumah,Jl. Kaliurang No. 54,Jakarta Selatan,DKI Jakarta,8213000000,128,2,2,212,2023-03-05,active,314
LST00197,AGT015,Kavling,Jl. Kaliurang No. 23,Bekasi,Jawa Barat,647000000,372,0,0,372,2024-09-17,active,371
