inquiry_id,listing_id,agent_id,inquiry_date,contact_method,outcome,response_time_hours
INQ00101,LST00501,AGT057,2023-01-10,WhatsApp,deal_closed,60:02:00
INQ00102,LST00383,AGT059,2024-10-15,WhatsApp,viewing_scheduled,47:03:00
INQ00103,LST00403,AGT019,2024-04-24,Telepon,info_sent,54:00:00
INQ00104,LST00705,AGT046,2024-10-17,WhatsApp,info_sent,46:01:00
INQ00105,LST00465,AGT016,2023-04-25,Email,deal_closed,13:06
INQ00106,LST00001,AGT108,2023-10-27,WhatsApp,viewing_scheduled,10:05
INQ00107,LST00074,AGT043,2024-05-27,WhatsApp,info_sent,54:04:00
INQ00108,LST00311,AGT023,2022-08-10,Telepon,offer_made,7:00
INQ00109,LST00835,AGT005,2022-10-07,WhatsApp,no_response,
INQ00110,LST00032,AGT074,2022-04-23,WhatsApp,info_sent,13:05
INQ00111,LST00795,AGT120,2024-01-03,WhatsApp,info_sent,32:06:00
INQ00112,LST00122,AGT100,2023-09-03,WhatsApp,offer_made,29:01:00
INQ00113,LST00715,AGT112,2022-07-05,WhatsApp,info_sent,28:00:00
INQ00114,LST00214,AGT074,2022-07-06,WhatsApp,viewing_scheduled,42:05:00
INQ00115,LST00490,AGT099,2024-08-08,Email,viewing_scheduled,70:03:00
INQ00116,LST00512,AGT070,2024-02-06,WhatsApp,no_response,
INQ00117,LST00262,AGT021,2023-03-28,WhatsApp,deal_closed,38:09:00
INQ00118,LST00101,AGT148,2024-03-30,Email,viewing_scheduled,44:07:00
INQ00119,LST00360,AGT149,2024-08-19,Telepon,no_response,
INQ00120,LST00390,AGT025,2024-01-15,Telepon,deal_closed,65:02:00
INQ00121,LST00487,AGT113,2022-05-30,Telepon,no_response,
INQ00122,LST00085,AGT100,2022-06-12,Walk-in,offer_made,45:05:00
INQ00123,LST00097,AGT081,2023-03-14,WhatsApp,deal_closed,24:04:00
INQ00124,LST00619,AGT137,2025-02-28,WhatsApp,info_sent,22:04
INQ00125,LST00796,AGT100,2024-02-24,Telepon,info_sent,44:02:00
INQ00126,LST00098,AGT062,2022-08-07,Email,no_response,
INQ00127,LST00608,AGT037,2024-02-16,Telepon,viewing_scheduled,5:01
INQ00128,LST00186,AGT116,2024-08-18,WhatsApp,offer_made,40:07:00
INQ00129,LST00821,AGT125,2024-06-17,Email,deal_closed,3:06
INQ00130,LST00600,AGT006,2023-04-30,Email,viewing_scheduled,35:04:00
INQ00131,LST00924,AGT092,2025-02-28,WhatsApp,info_sent,3:00
INQ00132,LST00616,AGT074,2023-12-11,WhatsApp,no_response,
INQ00133,LST00704,AGT111,2023-07-10,WhatsApp,info_sent,34:08:00
INQ00134,LST00256,AGT100,2024-10-04,WhatsApp,deal_closed,53:06:00
INQ00135,LST00670,AGT038,2022-06-15,WhatsApp,deal_closed,27:02:00
INQ00136,LST00310,AGT084,2025-01-30,WhatsApp,info_sent,62:03:00
INQ00137,LST00598,AGT006,2023-03-10,WhatsApp,offer_made,32:01:00
INQ00138,LST00718,AGT002,2024-05-28,WhatsApp,info_sent,10:01
INQ00139,LST00759,AGT095,2023-04-10,Telepon,no_response,
INQ00140,LST00449,AGT055,2023-01-06,WhatsApp,offer_made,31:00:00
INQ00141,LST00726,AGT014,2024-12-10,Email,info_sent,45:07:00
INQ00142,LST00109,AGT093,2023-09-14,Telepon,no_response,
INQ00143,LST00286,AGT084,2022-04-07,Telepon,offer_made,30:05:00
INQ00144,LST00067,AGT002,2023-08-10,WhatsApp,offer_made,25:08:00
INQ00145,LST00411,AGT021,2024-03-23,WhatsApp,no_response,
INQ00146,LST00124,AGT116,2022-08-01,WhatsApp,no_response,
INQ00147,LST00585,AGT100,2024-03-21,Email,info_sent,32:02:00
INQ00148,LST00560,AGT095,2022-04-28,Telepon,info_sent,34:05:00
INQ00149,LST00995,AGT133,2023-10-02,Email,info_sent,42:00:00
INQ00150,LST00119,AGT079,2023-02-27,WhatsApp,info_sent,14:07
INQ00151,LST00308,AGT147,2022-04-01,Walk-in,offer_made,28:02:00
INQ00152,LST00381,AGT106,2023-11-09,Telepon,no_response,
INQ00153,LST00116,AGT073,2024-03-08,Email,info_sent,42:02:00
INQ00154,LST00010,AGT092,2023-11-22,WhatsApp,info_sent,66:03:00
INQ00155,LST00882,AGT137,2025-02-28,WhatsApp,info_sent,47:08:00
INQ00156,LST00490,AGT099,2025-02-28,WhatsApp,no_response,
INQ00157,LST00177,AGT146,2024-10-22,Telepon,offer_made,45:02:00
INQ00158,LST00880,AGT109,2024-09-01,WhatsApp,offer_made,9:02
INQ00159,LST00523,AGT073,2024-03-02,Walk-in,no_response,
INQ00160,LST00490,AGT099,2025-02-28,WhatsApp,viewing_scheduled,11:09
INQ00161,LST00642,AGT093,2024-03-23,Email,info_sent,67:05:00
INQ00162,LST00848,AGT109,2024-01-27,WhatsApp,no_response,
INQ00163,LST00771,AGT128,2022-07-29,WhatsApp,info_sent,56:02:00
INQ00164,LST00029,AGT109,2023-10-07,Email,deal_closed,67:00:00
INQ00165,LST00401,AGT118,2022-11-16,Email,info_sent,53:09:00
INQ00166,LST00131,AGT061,2023-05-16,Email,viewing_scheduled,64:00:00
INQ00167,LST00662,AGT022,2024-03-01,Walk-in,offer_made,11:04
INQ00168,LST00614,AGT033,2023-07-18,WhatsApp,viewing_scheduled,55:07:00
INQ00169,LST00444,AGT134,2022-08-27,WhatsApp,info_sent,4:09
INQ00170,LST00087,AGT015,2024-12-15,Walk-in,offer_made,3:00
INQ00171,LST00285,AGT126,2023-08-29,WhatsApp,viewing_scheduled,46:08:00
INQ00172,LST00940,AGT122,2024-04-08,WhatsApp,viewing_scheduled,43:06:00
INQ00173,LST00942,AGT073,2024-06-29,Telepon,viewing_scheduled,35:02:00
INQ00174,LST00776,AGT117,2022-08-13,Email,viewing_scheduled,50:01:00
INQ00175,LST00946,AGT063,2023-03-31,Email,offer_made,56:06:00
INQ00176,LST00141,AGT125,2025-02-28,WhatsApp,no_response,
INQ00177,LST00709,AGT039,2024-12-03,WhatsApp,viewing_scheduled,37:03:00
INQ00178,LST00647,AGT071,2024-11-11,WhatsApp,offer_made,19:04
INQ00179,LST00278,AGT112,2025-02-28,WhatsApp,viewing_scheduled,37:00:00
INQ00180,LST00321,AGT122,2024-02-12,WhatsApp,info_sent,40:08:00
INQ00181,LST00357,AGT100,2025-02-28,WhatsApp,info_sent,37:03:00
INQ00182,LST00422,AGT030,2024-01-02,WhatsApp,viewing_scheduled,30:06:00
INQ00183,LST00675,AGT093,2022-08-20,Walk-in,viewing_scheduled,64:01:00
INQ00184,LST00143,AGT126,2024-02-04,WhatsApp,offer_made,49:04:00
INQ00185,LST00730,AGT124,2022-08-13,WhatsApp,viewing_scheduled,41:09:00
INQ00186,LST00178,AGT129,2022-10-24,Walk-in,deal_closed,63:01:00
INQ00187,LST00654,AGT057,2024-04-25,WhatsApp,viewing_scheduled,56:09:00
INQ00188,LST00851,AGT131,2024-01-13,WhatsApp,offer_made,58:03:00
INQ00189,LST00384,AGT039,2024-11-20,WhatsApp,viewing_scheduled,51:07:00
INQ00190,LST00955,AGT104,2023-06-27,Telepon,info_sent,10:06
INQ00191,LST00621,AGT045,2024-02-25,WhatsApp,no_response,
INQ00192,LST00990,AGT132,2024-04-04,Telepon,info_sent,0:03
INQ00193,LST00194,AGT028,2024-09-24,Telepon,viewing_scheduled,67:03:00
INQ00194,LST00564,AGT098,2022-12-29,Telepon,viewing_scheduled,30:03:00
INQ00195,LST00273,AGT125,2024-09-14,WhatsApp,offer_made,70:07:00
INQ00196,LST00610,AGT070,2022-07-15,Telepon,viewing_scheduled,27:09:00
INQ00197,LST00123,AGT137,2024-09-30,WhatsApp,no_response,
INQ00198,LST00371,AGT100,2023-10-22,WhatsApp,no_response,
INQ00199,LST00868,AGT064,2024-03-30,WhatsApp,no_response,
INQ00200,LST00562,AGT030,2023-03-15,WhatsApp,no_response,
INQ00201,LST00803,AGT042,2022-03-16,Walk-in,offer_made,30:05:00
INQ00202,LST00041,AGT083,2025-02-28,Telepon,no_response,
INQ00203,LST00011,AGT081,2024-01-20,WhatsApp,viewing_scheduled,51:08:00
INQ00204,LST00292,AGT086,2024-03-14,WhatsApp,info_sent,15:09
INQ00205,LST00619,AGT137,2025-02-28,Walk-in,info_sent,66:08:00
INQ00206,LST00363,AGT148,2025-02-25,WhatsApp,no_response,
INQ00207,LST00567,AGT051,2023-03-08,Walk-in,info_sent,12:05
INQ00208,LST00990,AGT132,2024-04-08,WhatsApp,viewing_scheduled,44:04:00
INQ00209,LST00978,AGT044,2024-12-11,WhatsApp,viewing_scheduled,53:03:00
INQ00210,LST00998,AGT052,2024-03-28,Telepon,no_response,
INQ00211,LST00098,AGT062,2022-08-22,WhatsApp,info_sent,17:05
INQ00212,LST00625,AGT090,2022-09-15,WhatsApp,info_sent,20:02
INQ00213,LST00004,AGT024,2022-08-08,Email,info_sent,31:04:00
INQ00214,LST00882,AGT137,2025-02-28,WhatsApp,viewing_scheduled,15:04
INQ00215,LST00103,AGT149,2023-08-16,WhatsApp,info_sent,51:03:00
INQ00216,LST00454,AGT036,2024-05-26,Walk-in,info_sent,61:03:00
INQ00217,LST00769,AGT090,2024-05-27,WhatsApp,viewing_scheduled,55:01:00
INQ00218,LST00211,AGT084,2025-02-28,Telepon,viewing_scheduled,56:09:00
INQ00219,LST00537,AGT134,2024-03-04,WhatsApp,no_response,
INQ00220,LST00512,AGT070,2024-03-12,Telepon,viewing_scheduled,14:09
INQ00221,LST00148,AGT141,2023-06-16,Email,offer_made,49:02:00
INQ00222,LST00173,AGT085,2022-11-30,WhatsApp,info_sent,22:07
INQ00223,LST00415,AGT093,2022-06-22,WhatsApp,offer_made,21:00
INQ00224,LST00237,AGT149,2023-09-13,Email,viewing_scheduled,69:02:00
INQ00225,LST00703,AGT010,2022-09-29,WhatsApp,offer_made,50:03:00
INQ00226,LST00464,AGT031,2022-08-26,WhatsApp,viewing_scheduled,24:09:00
INQ00227,LST00391,AGT012,2024-03-24,Telepon,viewing_scheduled,52:02:00
INQ00228,LST00932,AGT063,2023-12-25,WhatsApp,viewing_scheduled,18:04
INQ00229,LST00235,AGT131,2024-12-24,WhatsApp,info_sent,34:05:00
INQ00230,LST00173,AGT085,2022-11-07,Telepon,offer_made,37:03:00
INQ00231,LST00544,AGT045,2025-01-01,WhatsApp,info_sent,26:03:00
INQ00232,LST00779,AGT091,2023-08-17,WhatsApp,offer_made,65:09:00
INQ00233,LST00095,AGT098,2025-01-06,Email,viewing_scheduled,3:07
INQ00234,LST00082,AGT053,2024-06-11,WhatsApp,viewing_scheduled,10:08
INQ00235,LST00146,AGT143,2022-08-29,WhatsApp,info_sent,16:06
INQ00236,LST00320,AGT071,2023-09-06,Telepon,no_response,
INQ00237,LST00238,AGT133,2025-02-01,Email,no_response,
INQ00238,LST00587,AGT073,2023-12-02,WhatsApp,viewing_scheduled,33:09:00
INQ00239,LST00434,AGT136,2024-10-21,WhatsApp,no_response,
INQ00240,LST00828,AGT120,2023-07-16,Email,offer_made,5:06
INQ00241,LST00792,AGT122,2023-07-30,WhatsApp,info_sent,38:05:00
INQ00242,LST00798,AGT047,2024-04-20,Telepon,deal_closed,26:06:00
INQ00243,LST00184,AGT119,2022-11-07,Telepon,info_sent,17:08
INQ00244,LST00009,AGT107,2024-08-01,WhatsApp,deal_closed,19:07
INQ00245,LST00833,AGT127,2022-03-22,Telepon,viewing_scheduled,64:04:00
INQ00246,LST00404,AGT006,2023-10-08,WhatsApp,no_response,
INQ00247,LST00481,AGT006,2024-08-11,WhatsApp,info_sent,62:01:00
INQ00248,LST00855,AGT043,2022-09-22,Telepon,info_sent,33:03:00
INQ00249,LST00466,AGT069,2024-05-27,Walk-in,no_response,
INQ00250,LST00731,AGT006,2023-04-11,WhatsApp,offer_made,43:07:00
INQ00251,LST00044,AGT109,2022-07-01,WhatsApp,no_response,
INQ00252,LST00001,AGT108,2023-07-08,Telepon,viewing_scheduled,57:05:00
INQ00253,LST00694,AGT128,2024-11-11,WhatsApp,viewing_scheduled,39:00:00
INQ00254,LST00414,AGT102,2024-11-29,Telepon,offer_made,67:09:00
INQ00255,LST00363,AGT148,2025-02-28,Telepon,offer_made,60:03:00
INQ00256,LST00415,AGT093,2022-06-10,Telepon,info_sent,12:01
INQ00257,LST00879,AGT139,2023-12-04,WhatsApp,no_response,
INQ00258,LST00212,AGT002,2024-12-20,Email,info_sent,60:06:00
INQ00259,LST00119,AGT079,2023-03-10,WhatsApp,info_sent,27:01:00
INQ00260,LST00383,AGT059,2024-06-03,WhatsApp,viewing_scheduled,14:04
INQ00261,LST00017,AGT078,2022-05-05,Telepon,deal_closed,46:00:00
INQ00262,LST00151,AGT071,2023-02-03,Email,deal_closed,54:00:00
INQ00263,LST00665,AGT007,2024-05-14,WhatsApp,info_sent,10:03
INQ00264,LST00923,AGT092,2022-08-08,Telepon,info_sent,35:01:00
INQ00265,LST00478,AGT127,2023-08-07,Telepon,info_sent,63:05:00
INQ00266,LST00475,AGT021,2024-03-14,WhatsApp,no_response,
INQ00267,LST00252,AGT027,2022-03-08,Email,no_response,
INQ00268,LST00303,AGT138,2023-05-26,WhatsApp,info_sent,33:05:00
INQ00269,LST00396,AGT014,2022-12-14,WhatsApp,viewing_scheduled,21:02
INQ00270,LST00841,AGT014,2023-09-23,Telepon,viewing_scheduled,3:00
INQ00271,LST00890,AGT030,2023-02-13,WhatsApp,info_sent,23:09
INQ00272,LST00318,AGT078,2023-10-29,WhatsApp,no_response,
INQ00273,LST00104,AGT069,2024-02-20,Walk-in,offer_made,40:05:00
INQ00274,LST00062,AGT145,2023-03-28,Telepon,info_sent,45:04:00
INQ00275,LST00381,AGT106,2023-11-05,Telepon,info_sent,24:01:00
INQ00276,LST00628,AGT113,2023-02-25,WhatsApp,viewing_scheduled,23:06
INQ00277,LST00377,AGT021,2022-12-21,Telepon,viewing_scheduled,9:00
INQ00278,LST00449,AGT055,2023-01-03,Telepon,deal_closed,37:01:00
INQ00279,LST00683,AGT015,2025-02-28,Telepon,deal_closed,53:09:00
INQ00280,LST00519,AGT091,2022-03-06,WhatsApp,info_sent,23:08
INQ00281,LST00732,AGT033,2024-12-07,Walk-in,deal_closed,45:08:00
INQ00282,LST00148,AGT141,2023-07-19,Walk-in,info_sent,6:08
INQ00283,LST00394,AGT111,2024-06-28,WhatsApp,info_sent,3:01
INQ00284,LST00311,AGT023,2022-05-01,WhatsApp,info_sent,30:02:00
INQ00285,LST00199,AGT145,2023-08-05,WhatsApp,info_sent,39:04:00
INQ00286,LST00262,AGT021,2023-02-22,WhatsApp,no_response,
INQ00287,LST00168,AGT026,2022-02-15,WhatsApp,deal_closed,34:08:00
INQ00288,LST00068,AGT039,2023-06-12,Telepon,info_sent,66:06:00
INQ00289,LST00506,AGT064,2022-07-15,WhatsApp,offer_made,33:01:00
INQ00290,LST00921,AGT067,2023-03-01,Email,deal_closed,70:05:00
INQ00291,LST00872,AGT115,2024-01-06,WhatsApp,viewing_scheduled,40:03:00
INQ00292,LST00911,AGT016,2023-11-01,Email,offer_made,23:06
INQ00293,LST00160,AGT063,2024-07-21,Email,offer_made,42:05:00
INQ00294,LST00699,AGT011,2024-03-15,Email,deal_closed,64:06:00
INQ00295,LST00232,AGT098,2024-02-29,Telepon,viewing_scheduled,19:07
INQ00296,LST00963,AGT106,2024-04-21,WhatsApp,viewing_scheduled,70:00:00
INQ00297,LST00415,AGT093,2022-02-28,Email,info_sent,57:07:00
INQ00298,LST00264,AGT010,2025-01-25,WhatsApp,viewing_scheduled,16:02
INQ00299,LST00803,AGT042,2022-03-24,WhatsApp,viewing_scheduled,65:02:00
INQ00300,LST00949,AGT063,2023-02-10,Email,viewing_scheduled,36:05:00
INQ00301,LST00423,AGT050,2024-10-07,WhatsApp,viewing_scheduled,23:09
INQ00302,LST00084,AGT115,2022-05-18,WhatsApp,viewing_scheduled,34:07:00
INQ00303,LST00951,AGT005,2023-05-11,WhatsApp,deal_closed,22:07
INQ00304,LST00911,AGT016,2023-10-14,Telepon,info_sent,58:07:00
INQ00305,LST00158,AGT087,2024-07-31,Telepon,no_response,
INQ00306,LST00342,AGT017,2023-07-25,WhatsApp,info_sent,17:00
INQ00307,LST00901,AGT036,2022-09-29,WhatsApp,viewing_scheduled,15:05
INQ00308,LST00441,AGT067,2024-12-05,WhatsApp,info_sent,44:00:00
INQ00309,LST00169,AGT064,2024-06-01,WhatsApp,viewing_scheduled,23:06
INQ00310,LST00386,AGT034,2023-02-02,WhatsApp,no_response,
INQ00311,LST00085,AGT100,2022-05-13,WhatsApp,viewing_scheduled,30:09:00
INQ00312,LST00919,AGT134,2024-06-18,Email,offer_made,11:00
INQ00313,LST00053,AGT141,2022-09-20,Telepon,info_sent,2:05
INQ00314,LST00299,AGT114,2025-02-28,Email,offer_made,66:01:00
INQ00315,LST00717,AGT108,2024-07-25,Email,viewing_scheduled,6:04
INQ00316,LST00170,AGT091,2023-08-30,WhatsApp,no_response,
INQ00317,LST00040,AGT056,2023-06-21,WhatsApp,no_response,
INQ00318,LST00630,AGT069,2024-03-29,WhatsApp,info_sent,64:06:00
INQ00319,LST00844,AGT146,2023-10-21,WhatsApp,info_sent,42:08:00
INQ00320,LST00631,AGT100,2023-03-29,WhatsApp,viewing_scheduled,20:06
INQ00321,LST00067,AGT002,2023-09-27,Email,info_sent,11:04
INQ00322,LST00795,AGT120,2024-04-25,WhatsApp,viewing_scheduled,43:07:00
INQ00323,LST00706,AGT135,2024-07-02,WhatsApp,info_sent,61:04:00
INQ00324,LST00681,AGT042,2023-07-24,Email,viewing_scheduled,58:04:00
INQ00325,LST00368,AGT011,2022-07-15,WhatsApp,info_sent,47:01:00
INQ00326,LST00835,AGT005,2022-11-30,WhatsApp,info_sent,57:02:00
INQ00327,LST00868,AGT064,2024-04-14,Email,info_sent,15:02
INQ00328,LST00473,AGT083,2022-03-22,Walk-in,no_response,
INQ00329,LST00038,AGT057,2025-01-14,WhatsApp,viewing_scheduled,63:00:00
INQ00330,LST00152,AGT094,2023-05-16,Telepon,no_response,
INQ00331,LST00153,AGT020,2022-08-21,WhatsApp,deal_closed,24:00:00
INQ00332,LST00328,AGT090,2024-02-14,WhatsApp,offer_made,34:07:00
INQ00333,LST00420,AGT149,2024-10-03,Email,offer_made,67:09:00
INQ00334,LST00566,AGT107,2023-02-05,Walk-in,info_sent,64:05:00
INQ00335,LST00672,AGT127,2023-11-18,WhatsApp,info_sent,28:02:00
INQ00336,LST00354,AGT063,2023-09-19,WhatsApp,no_response,
INQ00337,LST00862,AGT036,2023-04-10,WhatsApp,info_sent,58:05:00
INQ00338,LST00475,AGT021,2024-05-21,Walk-in,info_sent,32:04:00
INQ00339,LST00836,AGT020,2023-09-13,Walk-in,offer_made,30:05:00
INQ00340,LST00323,AGT136,2023-03-13,WhatsApp,info_sent,68:07:00
INQ00341,LST00426,AGT107,2023-07-12,Telepon,info_sent,10:08
INQ00342,LST00906,AGT003,2022-07-29,WhatsApp,viewing_scheduled,43:05:00
INQ00343,LST00981,AGT128,2022-10-01,WhatsApp,deal_closed,13:01
INQ00344,LST00040,AGT056,2023-07-03,WhatsApp,offer_made,26:00:00
INQ00345,LST00352,AGT083,2023-01-05,WhatsApp,info_sent,0:03
INQ00346,LST00495,AGT061,2023-03-05,WhatsApp,info_sent,10:07
INQ00347,LST00697,AGT114,2023-03-09,Walk-in,deal_closed,36:04:00
INQ00348,LST00544,AGT045,2025-02-20,Telepon,viewing_scheduled,44:01:00
INQ00349,LST00627,AGT096,2023-07-18,Telepon,deal_closed,68:04:00
INQ00350,LST00820,AGT063,2023-12-16,Telepon,deal_closed,42:06:00
INQ00351,LST00298,AGT134,2024-02-18,Walk-in,viewing_scheduled,3:03
INQ00352,LST00341,AGT027,2022-07-29,WhatsApp,viewing_scheduled,45:02:00
INQ00353,LST00811,AGT053,2022-06-10,Telepon,info_sent,66:09:00
INQ00354,LST00937,AGT042,2022-12-29,Telepon,info_sent,66:05:00
